MIT Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,2139,V0-001-000101749-5
NBT Bank Stadium (formerly Alliance Bank Stadium),One Tex Simone Drive,Syracuse,NY,13208,V0-001-000102506-9
Gillette Stadium,1 Patriot Place,Foxboro,MA,2035,V0-001-000102516-6
Foxwoods Resort Casino,350 Trolley Line Boulevard,Ledyard,CT,6339,V0-001-000102535-1
House of Blues - Boston,15 Lansdowne Street,Boston,MA,2215,V0-001-000102555-5
Calvin Theatre,19 King Street,Northampton,MA,1060,V0-001-000104314-4
Citi Performing Arts Center Wang Theatre,270 Tremont Street,Boston,MA,2116,V0-001-000104717-7
"New York, New York, United States","New York, New York, United States",New York,NY,,V0-001-000104893-6
Sheas Performing Arts Center,646 Main Street,Buffalo,NY,14202,V0-001-000105047-2
Palace Theatre,19 Clinton Avenue,Albany,NY,12207,V0-001-000105107-3
Cross Insurance Arena (Formerly Cumberland County Civic Center),One Civic Center Square,Portland,ME,4101,V0-001-000105185-1
DCU Center (FKA Worcester Centrum),50 Foster Street,Worcester,MA,1608,V0-001-000105275-3
The Charles Hotel,1 Bennett Street,Cambridge,MA,2138,V0-001-000109028-5
Sun National Bank Center,81 Hamilton Ave,Trenton,NJ,,V0-001-000109132-7
Bears Den At Seneca Niagara Casino,310 Fourth Street,Niagara Falls,NY,14303,V0-001-000111346-1
Boston Opera House,539 Washington Street,Boston,MA,2108,V0-001-000111662-6
Buffalo Niagara Convention Center,153 Franklin St,Buffalo,NY,14202,V0-001-000112084-1
Orpheum Theater,126 Second Avenue,New York,NY,10003,V0-001-000112307-9
Tsongas Center at UMass Lowell,300 Martin Luther King Jr Way,Lowell,MA,1852,V0-001-000112602-1
Downtown Providence,Various venues throughout downtown Providence,Providence,RI,2903,V0-001-000114127-9
Portsmouth Music Hall,28 Chestnut Street,Portsmouth,NH,3801,V0-001-000116546-4
Providence Performing Arts Center,220 Weybosset Street,Providence,RI,2903,V0-001-000117051-8
Mullins Center,University of Massachusetts,Amherst,MA,1003,V0-001-000117103-0
Bardavon Opera House,35 Market Street,Poughkeepsie,NY,,V0-001-000140347-0
The Stanley,259 Genesee Street,Utica,NY,13501,V0-001-000144948-1
Charles Playhouse,74 Warrenton Street,Boston,MA,2116,V0-001-000148936-4
Verizon Wireless Arena,555 Elm Street,Manchester,NH,3101,V0-001-000151410-1
MassMutual Center (formerly Springfield Civic Center),"1277 Main St,",Springfield,MA,1103,V0-001-000151553-5
Ralph Wilson Stadium,1 Bills Drive,Orchard Park,NY,14127,V0-001-000153156-0
The Bushnell Center for Performing Arts,166 Capitol Ave,Hartford,CT,6106,V0-001-000153355-9
Rochester Auditorium Theatre,885 E Main St.,Rochester,NY,14605,V0-001-000153361-0
Somerville Theatre,55 Davis Square,Somerville,MA,2144,V0-001-000153369-2
Riviera Theatre,67 Webster St,North Tonawanda,NY,14120,V0-001-000153689-3
Harrah's Atlantic City,777 Harrah South Boulevard,Atlantic City,NJ,8401,V0-001-000154349-5
Palace Theatre Stamford,61 Atlantic Street,Stamford,CT,6901,V0-001-000154921-3
Club Passim,47 Palmer Street,Cambridge,MA,2138,V0-001-000155632-9
The Narrows Center for the Arts,16 Anawan Street,Fall River,MA,2721,V0-001-000155920-1
University of Rochester,240 Wallis Hall,Rochester,NY,14627,V0-001-000156663-6
Paramount Theatre - Asbury Park,1300 Ocean Avenue,Asbury Park,NJ,7712,V0-001-000156782-0
Palace Theater - Waterbury,100 East Main Street,Waterbury,CT,6702,V0-001-000157291-0
Niagara Falls Conference Center (End Stage),Old Falls Boulevard,Niagara Falls,NY,,V0-001-000160274-3
Museum of Modern Art,11 West 53 Street,New York,NY,10019,V0-001-000160557-3
Lehman College of the City University of New York,250 Bedford Park Boulevard West,Bronx,NY,10468,V0-001-000160928-7
Brown University,45 Prospect Street,Providence,RI,2912,V0-001-000160954-2
Crossgates Mall Apple Store,1 Crossgates Mall Road,Albany,NY,12203,V0-001-000162011-0
Higher Ground,1214 Williston Rd,South Burlington,VT,5403,V0-001-000162060-6
Symphony Space,2537 Broadway at 95th Street,New York,NY,10025,V0-001-000162530-0
Boston University,One Silber Way,Boston,MA,2215,V0-001-000164946-1
Seneca Allegany Casino and Events Center,777 Seneca Allegany Blvd,Salamanca,NY,14779,V0-001-000166314-2
Rochester Public Market,280 N. Union Street,Rochester,NY,14609,V0-001-000167549-3
Toad's Place,300 York Street,New Haven,CT,6511,V0-001-000167791-4
Webster Theatre,39-41 Webster Street,Hartford,CT,6114,V0-001-000168172-2
Darien Lake Performing Arts Center,"9993 Alleghany Rd, Darien Center, NY",Darien Center,NY,14040,V0-001-000168978-8
The Snapple Theater Center - Anne L. Bernstein Theater,210 W. 50th Street,New York,NY,10019,V0-001-000170565-1
Hampton Beach Casino Ballroom,169 OCEAN BOULEVARD,Hampton,NH,3842,V0-001-000170733-0
Jorgensen Center for the Performing Arts,2100 Hillside Road,Storrs Mansfield,CT,6268,V0-001-000176404-3
Bug Jar,219 Monroe Avenue,Rochester,NY,14607,V0-001-000176415-9
Harro East Ballroom,155 N Chestnut Street,Rochester,NY,14607,V0-001-000183060-1
Fort Adams State Park,Harrison Avenue,Newport,RI,2840,V0-001-000186118-8
AS220,115 Empire Street,Providence,RI,2903,V0-001-000187263-4
Dinosaur Bar-B-Que (Rochester),99 Court Street,Rochester,NY,14604,V0-001-000200463-8
Hard Rock Cafe - Boston,24 Clinton Street,Boston,MA,2109,V0-001-000200486-9
Nick's Comedy Stop,100 Warrenton Street,Boston,MA,2116,V0-001-000201227-5
Landmark Theatre,362 South Salina Street,Syracuse,NY,13202,V0-001-000202961-9
The Haunt,702 Willow Avenue,Ithaca,NY,14850,V0-001-000202964-6
The Stress Factory,90 Church Street,New Brunswick,NJ,8901,V0-001-000203116-4
New England Aquarium,Central Wharf,Boston,MA,2110,V0-001-000205497-0
Mulroy Civic Center Theater,411 Montgomery Street,Syracuse,NY,13202,V0-001-000208523-5
Westcott Theater,524 Westcott Street,Syracuse,NY,13210,V0-001-000208548-4
Beacon Theatre,2124 Broadway (at 74th),New York,NY,10023,V0-001-000209001-5
Hangar Theatre,"Route 89 North, in Cass Park, the Treman Marina entrance",Ithaca,NY,14850,V0-001-000211410-2
UB Center For the Arts,103 Center for the Arts,Buffalo,NY,14260,V0-001-000211731-2
Borgata Hotel Casino & Spa,One Borgata Way,Atlantic City,NJ,8401,V0-001-000218013-2
Club Metronome,Main St.,Burlington,VT,5401,V0-001-000219726-6
University Of Vermont,85 S. Prospect Street,Burlington,VT,5401,V0-001-000219793-8
XL Center,1 Civic Center Plz,Hartford,CT,6103,V0-001-000223909-4
Nietzche's,248 Allen St,Buffalo,NY,14201,V0-001-000224053-1
The Metropolitan Museum of Art,1000 Fifth Avenue,New York,NY,10028,V0-001-000228997-4
Bryant Park,40th Street at Sixth Avenue,New York,NY,10036,V0-001-000229305-6
Nikon at Jones Beach Theater,1000 Ocean Parkway,Wantagh,NY,11793,V0-001-000229306-5
Blue Note,131 W Third Street,New York,NY,10012,V0-001-000229386-1
Brooklyn Museum,200 Eastern Parkway,Brooklyn,NY,11238,V0-001-000229449-9
Gershwin Theatre,222 W 51st Street,New York,NY,10019,V0-001-000229551-3
The Met,1005 Main Street,Pawtucket,RI,2860,V0-001-000231684-3
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,2467,V0-001-000232878-7
Washington Park,Corner of Madison and Willett,Albany,NY,12210,V0-001-000232982-9
Palace Theatre,2384 James Street,Syracuse,NY,13206,V0-001-000236397-5
Central Terminal,495 Paderewski Drive,Buffalo,NY,14202,V0-001-000236398-4
Buffalo State Sports Arena,1300 Elmwood Ave,Buffalo,NY,14222,V0-001-000236533-5
Toyota Presents the Oakdale Theatre,95 South Turnpike Road,Wallingford,CT,6492,V0-001-000238346-5
Kleinhan's Music Hall,3 Symphony Circle,Buffalo,NY,,V0-001-000238352-6
Rochester Riverside Convention Center,123 East Main St.,Rochester,NY,,V0-001-000238395-1
Boston Convention & Exhibition Center,415 Summer Street,Boston,MA,2210,V0-001-000241767-4
Caroline's on Broadway,1626 Broadway,New York,NY,10036,V0-001-000243266-4
Frontier Field,1 Morrie Silver Way,Rochester,NY,14608,V0-001-000252670-5
Carrier Dome,900 Irving Avenue,Syracuse,NY,13244,V0-001-000256326-5
Montage Music Hall,50 Chestnut St.,Rochester,NY,14604,V0-001-000257277-7
Syracuse University,900 S Crouse Avenue,Syracuse,NY,13210,V0-001-000268768-0
Twin River Casino,100 Twin River Road,Lincoln,RI,2865,V0-001-000268846-7
Blue Ocean Music Hall,4 Ocean Front North,Salisbury,MA,1952,V0-001-000269177-1
Geva Theatre,75 Woodbury Boulevard,Rochester,NY,14607,V0-001-000270075-0
Syracuse Stage,820 East Genesee Street (at Irving Ave.),Syracuse,NY,13210,V0-001-000270120-9
Lowell Memorial Auditorium,50 East Merrimack Street,Lowell,MA,1852,V0-001-000270148-5
Berklee Performance Center,136 Massachusetts Ave,Boston,MA,2128,V0-001-000271430-0
Water Street Music Hall,204 North Water Street,Rochester,NY,14604,V0-001-000278969-6
Empire Expo Center,NYS Fairgrounds,Syracuse,NY,13209,V0-001-000280523-1
Crouse-Hinds Theater,Mulroy Civic Center at Oncenter,Syracuse,NY,,V0-001-000280570-9
SOB's,204 Varick Street,New York,NY,10014,V0-001-000290564-7
Harvard Museum of Natural History,26 Oxford Street,Cambridge,MA,2138,V0-001-000297077-5
The Red Square,388 Broadway,Albany,NY,12210,V0-001-000297264-9
NEWPORT BLUES CAFE,286 THAMES ST.,Newport,RI,R.I.,V0-001-000305466-7
Harvard University,1350 Massachusetts Ave,Cambridge,MA,2138,V0-001-000305475-5
Connecticut Convention Center,100 Columbus Boulevard,Hartford,CT,6105,V0-001-000306221-3
Central Connecticut State University,1615 Stanely Street,New Britain,CT,6053,V0-001-000324141-2
Cornell University,410 Thurston Ave,Ithaca,NY,14850,V0-001-000324420-6
The New England Conservatory of Music,290 Huntington Avenue,Boston,MA,2115,V0-001-000325909-5
Rochester Institute of Technology,1 Lomb Memorial Drive,Rochester,NY,14623,V0-001-000326413-0
Vassar College,124 Raymond Ave,Poughkeepsie,NY,12604-0002,V0-001-000327246-7
Revolution Hall,425 River St.,Troy,NY,12180,V0-001-000327812-4
Carnegie Hall,881 Seventh Avenue,New York,NY,10019,V0-001-000342003-7
Union Hall,702 Union Street,Brooklyn,NY,11215,V0-001-000346673-8
Lincoln Center - David Geffen Hall (Formerly Avery Fisher Hall),10 Lincoln Square,New York,NY,10023,V0-001-000349552-7
Zeiterion Performing Arts Center,684 Purchase Street,New Bedford,MA,2740,V0-001-000356838-2
The Egg,1 State St.,Albany,NY,12203,V0-001-000361522-8
The Stone Pony,913 Ocean Avenue,Asbury Park,NJ,,V0-001-000363579-0
Kodak Hall at Eastman Theatre,60 Gibbs Street,Rochester,NY,,V0-001-000363698-4
Artpark,450 South 4th St.,Lewiston,NY,14092,V0-001-000364146-3
The Rapids Theatre,1711 Main Street,Niagara Falls,NY,14305,V0-001-000365767-7
Mid-Hudson Civic Center - Mair Hall,14 Civic Center Plaza,Poughkeepsie,NY,,V0-001-000366236-9
Boston Museum Of Fine Arts,465 Huntington Avenue,Boston,MA,,V0-001-000366935-3
Agganis Arena,925 Commonwealth Avenue,Boston,MA,2215,V0-001-000369914-1
Hammerstein Ballroom,311 West 34th Street,New York,NY,10001,V0-001-000389380-8
Buffalo State - Performing Arts Center at Rockwell Hall,Buffalo State Performing Arts Center 1300 Elmwood Avenue RH 210,Buffalo,NY,,V0-001-000389951-0
Iron Horse Music Hall,20 Center Street,Northampton,MA,1060,V0-001-000401347-2
California Brew Haus,402 Ridge Rd W,Rochester,NY,14615,V0-001-000413327-1
Black Eyed Sally's,350 Asylum Street,Hartford,CT,,V0-001-000431492-8
Troy Savings Bank Music Hall,30 2nd Street,Troy,NY,12180,V0-001-000432641-9
Apollo Theater,253 West 125th Street,New York,NY,10027,V0-001-000435239-9
Highline Ballroom,431 W Sixteenth Street,New York,NY,10011,V0-001-000435834-8
Guggenheim Museum,1071 Fifth Avenue,New York,NY,,V0-001-000439048-7
The Space,295 Treadwell Street,Hamden,CT,6514,V0-001-000444903-9
Highland Bowl Amphitheater,Rochester St,Rochester,NY,14620,V0-001-000450375-3
Merrill Auditorium,20 Myrtle St.,Portland,ME,4102,V0-001-000469589-6
Coca Cola Field,275 Washington Street,Buffalo,NY,14203,V0-001-000474667-7
Tropicana Casino and Resort,2831 Boardwalk,Atlantic City,NJ,8401,V0-001-000490397-1
Sportsmen's Tavern,326 Amherst Street,Buffalo,NY,,V0-001-000504356-8
TD Garden,100 Legends Way,Boston,MA,2114,V0-001-000509000-7
Irving Plaza,17 Irving Place,New York,NY,10003,V0-001-000519210-1
THE LUCKY DOG MUSIC HALL,89 GREEN STREET,Worcester,MA,1601,V0-001-000524547-6
Rochester City Park,30 Church Street,Rochester,NY,,V0-001-000527616-6
(Le) Poisson Rouge,158 Bleecker Street,New York,NY,10012,V0-001-000529109-5
Terminal 5,610 West 56th Street,New York,NY,10019,V0-001-000529171-2
Prospect Park,Grand Army Plaza entrance to Prospect Park,Brooklyn,NY,,V0-001-000533597-3
Ryles Jazz Club,212 Hampshire Street,Cambridge,MA,2139,V0-001-000535113-9
Battery Park,Battery Place and State and Whitehall streets,New York,NY,10002,V0-001-000552160-4
Blackman Theatre,360 Huntington Avenue,Boston,MA,2115,V0-001-000555766-3
Boston Symphony Hall,301 Massachusetts Avenue,Boston,MA,,V0-001-000556523-7
Starland Ballroom,570 Jernnee Mill Road,Sayreville,NJ,8872,V0-001-000558147-5
Main Street Armory,900 East Main Street,Rochester,NY,14605,V0-001-000558440-9
State Theatre,105 State Street,Ithaca,NY,14850,V0-001-000564983-0
Broome County Veterans Memorial Arena,One Stuart Street,Binghamton,NY,13901,V0-001-000591527-4
Klein Memorial Auditorium,910 Fairfield Avenue,Bridgeport,CT,,V0-001-000605840-6
First Niagara Center,One Seymour H Knox III Plaza,Buffalo,NY,14203,V0-001-000652610-1
Times Union Center,51 South Pearl Street,Albany,NY,12207,V0-001-000652611-0
Blue Cross Arena,One War Memorial Square,Rochester,NY,,V0-001-000652612-9
Broome County Forum Theatre,236 Washington Street,Binghamton,NY,13902,V0-001-000661337-3
The Lilypad,Inman Square 1353 Cambridge Street,Cambridge,MA,2139,V0-001-000662087-8
First Arena,115 N Main Street,Elmira,NY,,V0-001-000694092-1
Utica Memorial Auditorium,400 Oriskany Boulevard,Utica,NY,,V0-001-000694209-9
The Lizard Lounge,1667 Massachusetts Avenue,Cambridge,MA,2138,V0-001-000744388-7
The Gramercy Theatre (The Blender Theatre),127 East 23rd Street,New York,NY,10010,V0-001-000751118-8
Town Ballroom,681 Main Street 14203,Buffalo,NY,,V0-001-000777643-9
Two Boots of Bridgeport,281 Fairfield Avenue,Bridgeport,CT,6604,V0-001-000836232-1
Funk N' Waffles,727 S Crouse Avenue,Syracuse,NY,13201,V0-001-000845656-9
Gotham Hall,1356 Broadway,New York,NY,10001,V0-001-000893729-5
Westcott Community Center,826 Euclid Avenue,Syracuse,NY,13210,V0-001-000901814-4
Albright Knox Gallery,1285 Elmwood Avenue,Buffalo,NY,,V0-001-000904773-9
The Chance,6 Crannell Street,Poughkeepsie,NY,12601,V0-001-000910485-8
Dunkin' Donuts Center Providence,One LaSalle Square,Providence,RI,2903,V0-001-000915833-6
Arlene's Grocery,95 Stanton Street,New York,NY,10002,V0-001-000927232-6
Yankee Stadium,One East 161st Street,Bronx,NY,10456,V0-001-000931199-9
Joe's Pub,425 Lafayette Street,New York,NY,10003,V0-001-000946173-5
Great Scott,1222 Commonwealth Ave,Allston,MA,2134,V0-001-000948274-7
New Jersey Performing Arts Center,36 Park Place,Newark,NJ,,V0-001-000965593-6
Music Hall of Williamsburg,66 N Sixth Street,Brooklyn,NY,11211,V0-001-000965776-7
B.B. King Blues Club and Grill,237 W 42nd Street,New York,NY,10036,V0-001-000978654-6
Lilac Festival,Highland Park,Rochester,NY,,V0-001-000981238-2
Prudential Center,25 Lafayette Street,Newark,NJ,7102,V0-001-000989370-3
"Hartford Club 5377 Ball Room, 2nd floor",46 Prospect Street,Hartford,CT,6103,V0-001-000996951-0
Count Basie Theatre,99 Monmouth Street,Red Bank,NJ,7701,V0-001-001002458-5
Shubert Theater,247 College Street,New Haven,CT,6510,V0-001-001002621-9
The Mohawk Place,47 East Mohawk Street,Buffalo,NY,,V0-001-001002635-2
Rockwood Music Hall,196 Allen Street,New York,NY,10002,V0-001-001015033-0
Cape Cod Melody Tent,21 West Main Street,Hyannis,MA,,V0-001-001027850-2
Seaside Park - Ct,1 Barnum Dyke,Bridgeport,CT,,V0-001-001038193-0
The Middle East,472 Massachussets Avenue,Cambridge,MA,2139,V0-001-001083986-2
Orpheum Theatre,One Hamilton Place,Boston,MA,2108,V0-001-001092004-9
Pine Belt Arena (Toms River High School North Campus),1245 Old Freehold Road,Toms River,NJ,8753,V0-001-001104321-3
Veterans Memorial Auditorium (The Vets),1 Avenue Of The Arts,Providence,RI,2903,V0-001-001127505-2
NYCB Theatre at Westbury,960 Brush Hollow Road,Westbury,NY,11590,V0-001-001127507-0
Washington Avenue Armory,195 Washington Avenue,Albany,NY,12210,V0-001-001129261-5
Knitting Factory,361 Metropolitan Avenue,Brooklyn,NY,11211,V0-001-001149947-6
German House Theatre,315 Gregory Street,Rochester,NY,,V0-001-001154610-9
Webster Hall,125 East Eleventh Street,New York,NY,10003,V0-001-001155223-4
Lupo's Heartbreak Hotel,79 Washington Street,Providence,RI,2903,V0-001-001157491-7
The Comedy Studio,1238 Mass. Ave,Cambridge,MA,2138,V0-001-001157621-6
Xfinity Theatre (formerly Comcast),61 Savitt Way,Hartford,CT,6120,V0-001-001160428-1
Memorial Art Gallery,500 University Avenue,Rochester,NY,14607,V0-001-001180381-9
Rochester Museum And Science Center,657 East Avenue,Rochester,NY,14607,V0-001-001180384-6
Webster Bank Arena (formerly Arena at Harbor Yard),600 Main Street,Bridgeport,CT,6604,V0-001-001186412-0
Long Wharf Theatre,222 Sargent Drive,New Haven,CT,6511,V0-001-001196647-3
Paradise Rock Club,967 Commonwealth Avenue,Boston,MA,2115,V0-001-001227438-8
City of Buffalo,65 Niagara Square,Buffalo,NY,14202,V0-001-001268639-8
Central Park,Central Park,New York,NY,10019,V0-001-001302329-5
The Warner Theater,68 Main Street,Torrington,CT,6790,V0-001-001340545-3
Upstate Concert Hall (formerly Northern Lights),1208 Route 146,Clifton Park,NY,12065,V0-001-001342732-1
Sanders Theatre,45 Quincy Street,Cambridge,MA,,V0-001-001353748-8
Wilbur Theatre,246 Tremont Street,Boston,MA,2116,V0-001-001361869-5
Hard Rock Cafe,333 Prospect Street,Niagara Falls,NY,14303,V0-001-001373650-2
Lost Horizon,5863 Thompson Road,Syracuse,NY,13214,V0-001-001390371-5
Maxwell's,1039 Washington Street,Hoboken,NJ,7030,V0-001-001391473-9
The Little Theatre,240 East Avenue,Rochester,NY,14606,V0-001-001403649-0
Bally's Atlantic City,Park Place and the Boardwalk,Atlantic City,NJ,8404,V0-001-001410443-6
Nassau Veterans Memorial Coliseum,1255 Hempstead Turnpike,Uniondale,NY,11553,V0-001-001448944-3
PlayStation Theater,1515 Broadway at West 44th Street,New York,NY,10036,V0-001-001452630-0
Xfinity Center (formerly Comcast Center),885 S Main Street,Mansfield,MA,2048,V0-001-001458897-5
Cafe 939,939 Boylston Street,Boston,MA,2115,V0-001-001462036-9
Mercury Lounge,217 East Houston Street,New York,NY,10002,V0-001-001462094-3
Fenway Park,4 Yawkey Way,Boston,MA,02215-3409,V0-001-001462784-9
The Bowery Ballroom,6 Delancey Street,New York,NY,10002,V0-001-001466271-8
PNC Bank Arts Center,"Exit 116, Garden State Pkwy",Holmdel,NJ,,V0-001-001467766-8
The Theater At Madison Square Garden,Seventh Avenue and 32nd Street,New York,NY,10001,V0-001-001467820-5
Saratoga Performing Arts Center,108 Avenue of The Pines,Saratoga Springs,NY,12866,V0-001-001478649-8
Santos Party House,96 Lafayette Street,New York,NY,10013,V0-001-001491699-2
Wellmont Theatre,5 Seymour Street,Montclair,NJ,7042,V0-001-001508973-6
Trump Taj Mahal,1000 Boardwalk at Virginia Avenue,Atlantic City,NJ,8401,V0-001-001585396-4
Dave & Buster's,40 Providence Place Mall,Providence,RI,2903,V0-001-002216403-5
Niagara County Fair Grounds,4487 Lake Road (Route 78),Lockport,NY,14094,V0-001-002358941-7
Highland Park and Lamberton Conservatory,171 Reservoir Avenue,Rochester,NY,14620,V0-001-002386621-9
Mohegan Sun Resort and Casino,1 Mohegan Sun Boulevard,Uncasville,CT,6382,V0-001-002451906-2
Colosseum,180 Pine Street,Providence,RI,,V0-001-002982890-1
Bowery Poetry Club & Cafe,308 Bowery,New York,NY,10012,V0-001-003432385-3
The Tralf,622 Main St,Buffalo,NY,14202,V0-001-003821657-9
Royale Nightclub,279 Tremont St,Boston,MA,2116,V0-001-004150246-7
Hole in the Wall Theater,116 Main Street,New Britain,CT,6050,V0-001-004934676-0
Barclays Center,620 Atlantic Ave,Brooklyn,NY,11217,V0-001-005929409-5
Hunter College - Kaye Playhouse,695 Park Avenue,New York,NY,10065,V0-001-009074065-8
